game_date,shots_next_10
2019-09-20,0
2019-09-20,0
2019-09-20,0
2019-09-20,0
2019-09-20,0
2019-09-20,0
2019-09-20,0
2019-09-20,0
2019-09-20,0
2019-09-20,1
2019-09-20,1
2019-09-20,1
2019-09-20,1
2019-09-20,3
2019-09-20,3
2019-09-20,3
2019-09-20,2
2019-09-20,2
2019-09-20,2
2019-09-20,0
2019-09-20,0
2019-09-20,0
2019-09-20,0
2019-09-20,0
2019-09-20,0
2019-09-20,0
2019-09-20,0
2019-09-20,0
2019-09-20,0
2019-09-20,1
2019-09-20,1
2019-09-20,1
2019-09-20,1
2019-09-20,1
2019-09-20,0
2019-09-20,0
2019-09-20,0
2019-09-20,0
2019-09-20,0
2019-09-20,0
2019-09-20,0
2019-09-20,0
2019-09-20,0
2019-09-20,0
2019-09-20,0
2019-09-20,0
2019-09-20,0
2019-09-20,0
2019-09-20,0
2019-09-20,0
2019-09-20,0
2019-09-20,0
2019-09-20,0
2019-09-20,0
2019-09-20,0
2019-09-20,0
2019-09-20,0
2019-09-20,0
2019-09-20,0
2019-09-20,0
2019-09-20,0
2019-09-20,0
2019-09-20,0
2019-09-20,0
2019-09-20,0
2019-09-20,0
2019-09-20,0
2019-09-20,0
2019-09-20,0
2019-09-20,0
2019-09-20,0
2019-09-20,0
2019-09-20,0
2019-09-20,0
2019-09-20,0
2019-09-20,0
2019-09-20,0
2019-09-20,0
2019-09-20,0
2019-09-20,0
2019-09-20,0
2019-09-20,0
2019-09-20,0
2019-09-20,2
2019-09-20,2
2019-09-20,2
2019-09-20,2
2019-09-20,0
2019-09-20,0
2019-09-20,0
2019-09-20,0
2019-09-20,0
2019-09-20,0
2019-09-20,0
2019-09-20,0
2019-09-20,1
2019-09-20,1
2019-09-20,1
2019-09-20,0
2019-09-20,0
2019-09-20,0
2019-09-20,0
2019-09-20,0
2019-09-20,0
2019-09-20,0
2019-09-20,0
2019-09-20,0
2019-09-20,0
2019-09-20,0
2019-09-20,0
2019-09-20,0
2019-09-20,0
2019-09-20,0
